label,h1,h2,h3,h4,h5,h6,h7
9,0.0013201885396403419,4.2190639680399266e-07,6.076880449947637e-11,1.2251557784209585e-10,1.0390072076277871e-20,7.954429349694318e-14,1.9489045411711193e-21
9,0.0012319517261691472,2.2257417859469366e-08,1.0894240495468733e-10,7.837688762468035e-11,6.7345115711050774e-21,1.1393047563139221e-14,-2.6642497310285397e-21
9,0.0016993593554089645,5.266408808061234e-07,1.685480170880442e-10,7.067541390744923e-11,7.32623717189089e-21,5.1267414299442825e-14,-2.4140962248673303e-21
9,0.001043528136840362,1.316655363403693e-07,3.2162066140065374e-11,1.8672607806314466e-11,3.9308272134757157e-22,6.20714130025075e-15,2.342592303895614e-22
9,0.001060383434349648,8.569415264484217e-08,2.780963142628573e-11,1.2540804694827814e-11,2.3350297405518517e-22,3.6189953995490854e-15,1.8047331268834064e-23
9,0.0011959404137933138,4.366126828367184e-07,1.6087859840093534e-10,9.346817963686028e-11,1.0933250337674596e-20,5.849073192509866e-14,-3.4397745594734885e-21
9,0.0013253852494488193,4.048957575100412e-07,1.8977083237895033e-10,1.0100866291823817e-10,1.2064809064835223e-20,3.3140295343818136e-14,-7.07190040263799e-21
9,0.0013778845217967879,3.252274766027044e-07,1.498680212661148e-10,3.759219827550235e-10,7.202823814756299e-20,2.1405415528347627e-13,5.2664652922426027e-20
9,0.0011555842340480566,1.8033441718553482e-07,4.06572038579783e-11,2.2493653068876842e-11,6.784688479927439e-22,9.299593560524895e-15,4.8981470197201603e-23
9,0.001313675146624796,3.851434043489204e-07,1.4678075149078793e-10,9.874286187544986e-11,1.1803656592540413e-20,6.093573387071848e-14,1.4099759152378389e-21
9,0.0010714035125806661,4.1132262728635395e-08,7.383432102193016e-11,1.671162766288291e-12,8.064368562434394e-24,2.5560213154419817e-17,1.6720208630520292e-23
9,0.0012392792187079457,1.301450907376075e-07,1.3804473669054334e-10,3.431250448818937e-11,2.075268790489875e-21,1.1976140158510607e-14,-1.1269237851909045e-21
9,0.0012962383796447186,5.5701559997407216e-08,1.3243362820890033e-10,1.323217469780834e-10,1.747535838785394e-20,3.114684303707932e-14,1.1990437186374197e-21
9,0.0015234444295366494,5.994656323784104e-07,1.3671814063803411e-10,1.3081301106152518e-10,1.2123457627001213e-20,9.864041030805505e-14,-1.261199123372344e-20
9,0.0018561703990702695,1.9450078473887384e-07,4.259922323306171e-10,4.87912494031953e-10,2.1984116320007037e-19,2.1501001056617733e-13,-3.390594509009381e-20
9,0.001069545184773312,9.181345957739074e-08,2.834359445877422e-11,3.258651976003676e-11,9.428834387975235e-22,9.587799385105349e-15,3.0289378463171877e-22
9,0.0013832481789429487,1.703755481089228e-07,8.448095791886733e-11,1.4077297221787752e-10,1.5024054327495314e-20,5.804326940479481e-14,3.1550758146997904e-21
9,0.001174009599034936,2.3535818735186588e-07,1.1825729808829671e-10,1.688527635028111e-11,7.36934404696689e-22,7.920766699465007e-15,1.6199530506999784e-22
9,0.0010344960810860463,8.114842336857952e-08,5.0253460430187687e-11,2.2349729351807577e-11,6.3246147994225405e-22,6.190072935631615e-15,-4.0127073616590243e-22
9,0.001631796478372845,5.089586051771612e-07,5.543839402676625e-10,3.674284926259515e-10,1.6538979235525539e-19,2.618180928548487e-13,1.2082681139994678e-20
9,0.0009192723600503704,1.1305897702653895e-07,2.9282516523691595e-12,2.0165412813390818e-11,6.733022650587018e-23,6.504553106326248e-15,1.395661805285008e-22
9,0.001324866744537466,3.576570694814029e-07,3.189047116916635e-11,8.645392841477586e-11,4.414867395777312e-21,4.5837084464667546e-14,-1.056391505901392e-21
9,0.0013192117185965874,3.90365901935765e-07,2.0650747036498873e-10,1.0330826040826542e-10,1.3239016510024326e-20,5.247342519943999e-14,7.239947905571029e-21
9,0.0013779410389412722,1.1137545025688815e-07,9.175878566275804e-11,1.4512609194683228e-10,9.549316312673215e-21,2.8317992845324983e-14,1.3757874153477385e-20
